item ID,titles,description,product_type,brand,dietary_considerations,flavor_profile,cost_tier,key_features,categories
296,30 Packages Mama Tom Yum Flavour Instant Noodles,"This product consists of 30 individual packages of instant noodles flavored with the spicy and aromatic essence of Tom Yum, a popular Thai soup.",instant noodles,Mama,['Vegetarian'],spicy and aromatic,Low-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']","Snacks, Canned and Packaged Foods, Grains and Pasta, Ethnic and Specialty Foods"
304,"Knorr Italian Sides, Four Cheese Pasta, 4.1Ounce Packages (Pack of 12)","A convenient pack of ready-to-cook pasta with a creamy four cheese flavor, designed to serve as a flavorful side dish or meal base.",cheese pasta side dish,Knorr,['Vegetarian'],creamy,Medium-Cost,"['ready-to-cook', 'shelf-stable']","Canned and Packaged Foods, Grains and Pasta, Prepared and Ready-Made Meals"
306,"Peak Instant Full-Cream Dry Whole Milk Powder, 400-Grams (Pack of 2)","A versatile dairy product, this powdered whole milk can be reconstituted with water for use in cooking, baking, or as a creamy beverage.",whole milk powder,Peak,['Non-GMO'],creamy,Medium-Cost,"['shelf-stable', 'versatile', 'requires reconstitution']","Beverages, Cooking Ingredients"
310,"Green Mountain Coffee Fair Trade Wild Mountain Blueberry, 24-Count K-Cups for Keurig Brewers (Pack of 2)","This product includes two packs of 24 single-serve K-Cups containing Fair Trade Wild Mountain Blueberry coffee, designed for use with Keurig brewers.",flavored coffee,Green Mountain Coffee,['Fair Trade'],sweet,Medium-Cost,"['single-serving', 'shelf-stable']","Coffee/Tea, Health-Conscious Options"
317,"San Francisco Bay Coffee Whole Bean Decaf Espresso Roast, 32-Ounce Bag","This 32-ounce bag contains whole bean decaffeinated espresso roast coffee, ideal for brewing rich and flavorful espresso without the caffeine.",decaffeinated espresso coffee,San Francisco Bay Coffee,[],rich and bold,Medium-Cost,"['whole bean', 'decaffeinated', 'ideal for espresso']","Beverages, Coffee/Tea"
320,"Vigo Extra Virgin Olive Oil, 34 Ounce Glass","This 34-ounce glass bottle contains high-quality extra virgin olive oil, ideal for dressing salads, cooking, and enhancing the flavor of various dishes.",extra virgin olive oil,Vigo,"['Organic', 'Non-GMO', 'Vegan']",fruity and peppery,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Specialty Foods"
326,"Land O Lakes, Cocoa Mix Classic Raspberry, 1.25-Ounce (12 Pack)","A convenient 12-pack of classic raspberry cocoa mix, perfect for making a flavorful hot beverage.",flavored cocoa mix,Land O Lakes,[],sweet,Medium-Cost,"['shelf-stable', 'single-serving', 'easy to prepare']",Beverages
336,"MIO Energy Liquid Enhancer Energy Drink, Acai Berry Storm 1.62 Ounce",This is a concentrated liquid flavor enhancer that adds a boost of energy and acai berry flavor to water or beverages.,liquid flavor enhancer,MIO,"['Low-Calorie', 'Sugar-Free']",sweet,Medium-Cost,"['concentrated', 'ready-to-drink', 'single-serving']","Beverages, Health-Conscious Options"
347,"Vita Coco Kids Coconut Water Variety Pack, 6 Ounce Containers (Pack of 18)","This product is a variety pack of 6-ounce containers of coconut water designed specifically for kids, available in a bulk pack of 18.",children's beverage,Vita Coco,"['Non-GMO', 'Gluten-Free', 'low in sugar']",sweet,Medium-Cost,"['single-serving', 'shelf-stable', 'ready-to-drink']",Beverages
375,"Peanut Butter &amp; Co. Peanut Butter, Mighty Maple, 16-Ounce Jars (Pack of 6)","A pack of six 16-ounce jars of maple-flavored peanut butter, perfect for spreading on bread, adding to smoothies, or using in recipes.",flavored peanut butter,Peanut Butter & Co.,['Non-GMO'],sweet,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Snacks, Cooking Ingredients, Health Foods, Condiments and Sauces, Specialty Foods"
385,"Edward &amp; Sons Organic Mashed Potatoes, Roasted Garlic, 3.5-Ounce Boxes (Pack of 6)","This product is a convenient pack of organic roasted garlic mashed potatoes that requires minimal preparation, ideal as a side dish for various meals.",instant mashed potatoes,Edward & Sons,['Organic'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Cooking Ingredients, Prepared and Ready-Made Meals"
398,Spicy Bits,"A blend of crunchy, flavorful pieces that add heat and zest to dishes, perfect for enhancing snacks, salads, or main courses.",spicy seasoning,none,[],spicy,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Snacks, Cooking Ingredients, Specialty Foods"
432,"Fondarific Vanilla Fondant Antique White, 2-Pounds","A versatile, ready-to-use fondant in an antique white shade, ideal for decorating cakes and desserts with a smooth, elegant finish.",fondant,Fondarific,['none'],sweet,Medium-Cost,"['ready-to-use', 'smooth finish']",Sweets and Desserts
446,"Hansen's Apple Juice, 64 Ounce Bottles (Pack of 8)","A pack of eight 64-ounce bottles of apple juice, offering a refreshing and natural beverage option.",apple juice,Hansen's,"['Non-GMO', 'Gluten-Free', 'Vegan']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-drink']",Beverages
448,"Hain Pure Foods Safflower Oil, 32 Ounce","A versatile cooking oil with a light flavor, ideal for frying, sautéing, and salad dressings.",cooking oil,Hain Pure Foods,['Non-GMO'],light,Medium-Cost,"['versatile', 'suitable for frying', 'suitable for salad dressings']",Cooking Ingredients
539,24 Butterfly Twinkle Pops Assorted 7 Flavors,"Assorted lollipops featuring seven different flavors, designed in a whimsical butterfly shape for a fun and colorful treat.",novelty lollipops,none,[],sweet,Medium-Cost,"['assorted flavors', 'novelty design', 'shelf-stable']",Sweets and Desserts
565,"Hodgson Mill, Organic Whole Wheat Angel Hair Pasta, 12- ounce (Pack of 12)","Organic whole wheat angel hair pasta, available in a 12-ounce pack of 12, is a fine, thin noodle ideal for quick cooking and pairing with a variety of sauces and dishes.",angel hair pasta,Hodgson Mill,['Organic'],nutty,Medium-Cost,"['requires cooking', 'bulk packaging']",Grains and Pasta
573,"Ambrosia Pure Honey by Ambrosia Honey Co., 23 Ounce Bottles (Pack of 4)","This product is a pack of four 23-ounce bottles of pure honey, ideal for sweetening beverages, baking, and enhancing various dishes.",pure honey,Ambrosia Honey Co.,"['Natural', 'Non-GMO']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Sweeteners"
577,"Nature Valley Chewy Granola Bars, Vanilla Yogurt, 6-Count Boxes (Pack of 12)","These are chewy granola bars with a vanilla yogurt coating, sold in a pack of 12 boxes, each containing 6 bars, making them a convenient snack option.",granola bar,Nature Valley,"['Non-GMO', 'Contains Whole Grains']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'multi-pack']","Snacks, Health Foods"
637,"Jelly Belly Jelly Beans Gift Box, 21-Ounce","This 21-ounce gift box contains a colorful assortment of Jelly Belly jelly beans, offering a variety of flavors perfect for candy lovers and gift-giving occasions.",gourmet jelly beans,Jelly Belly,['Gluten-Free'],sweet,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Sweets and Desserts, Gift Baskets and Food Gifts"
642,"Folgers Lively Colombian Coffee, 80-Count cups","This product includes 80 single-serve coffee cups featuring a vibrant Colombian blend, designed for convenient brewing in compatible coffee makers.",single-serve Colombian coffee,Folgers,"['Gluten-Free', 'Vegan']",smooth and mild,Medium-Cost,"['single-serving', 'compatible with coffee makers', 'convenient brewing']","Beverages, Coffee/Tea"
653,Green &amp; Black's Organic Dark Chocolate 2-Flavor Variety: Two 3.5 oz Bars Each of Organic 70% Dark Chocolate and Organic 85% Dark Chocolate in a Gift Box,"This product includes a gift box containing two 3.5 oz bars of organic dark chocolate, featuring both 70% and 85% cocoa varieties.",gourmet chocolate,Green & Black's,['Organic'],bitter-sweet,High-Cost,"['gift packaging', 'organic', 'variety pack']","Snacks, Sweets and Desserts, Gift Baskets and Food Gifts"
656,"Erdschwalbe Organic Almond Flour, 8.8 Oz., (Pack of 3)","This product is a pack of three 8.8-ounce bags of organic almond flour, suitable for gluten-free baking and cooking.",almond flour,Erdschwalbe,"['Organic', 'Gluten-Free']",nutty,Medium-Cost,"['shelf-stable', 'suitable for baking', 'suitable for cooking']","Cooking Ingredients, Health Foods, Dietary Specific Items"
664,"Miracle Noodle Shirataki Pasta, Angel Hair, 7-Ounce (Pack of 6)","This low-calorie, gluten-free pasta alternative is made from konjac yam and is perfect for those seeking a healthy option for noodle dishes.",shirataki pasta,Miracle Noodle,"['Gluten-Free', 'Low-Calorie', 'Vegan']",neutral,Medium-Cost,"['shelf-stable', 'requires rinsing']","Health Foods, Grains and Pasta, Dietary Specific Items"
675,"Side Mates Traditional Couscous, Roasted Garlic and Broccoli, 6 Ounce (Pack of 8)","This product is a pack of eight 6-ounce servings of traditional couscous flavored with roasted garlic and broccoli, making it a convenient and flavorful side dish option.",flavored couscous,none,['Vegetarian'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Canned and Packaged Foods, Grains and Pasta, Prepared and Ready-Made Meals"
679,"International Delight Coffee House Inspirations Half and Half, 180 Count Single Serve Creamers","This product includes 180 single-serve creamers designed to enhance coffee with a rich, creamy flavor.",coffee creamer,International Delight,['Gluten-Free'],creamy,Medium-Cost,"['single-serving', 'shelf-stable']","Beverages, Coffee/Tea"
682,Da Vinci Gourmet Syrups Hazelnut Syrup 750 ml Bottle,"This is a 750 ml bottle of hazelnut-flavored syrup, ideal for adding a rich, nutty taste to beverages like coffee, cocktails, and desserts.",flavored syrup,Da Vinci Gourmet,['None'],sweet,Medium-Cost,"['shelf-stable', 'ready-to-use']","Beverages, Sweets and Desserts, Condiments and Sauces"
690,"Kernel Season's Nacho Cheddar Seasoning, 2.85 Ounce Shakers (Pack of 6)","A savory seasoning blend that adds a rich nacho cheese flavor to popcorn and other snacks, conveniently packaged in six 2.85-ounce shakers.",popcorn seasoning,Kernel Season's,['Gluten-Free'],savory,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Condiments and Sauces"
695,"Amy's Organic Black Bean Chili, 14.7-Ounce Cans (Pack of 12)","This product is a pack of twelve 14.7-ounce cans of organic black bean chili, offering a convenient and hearty vegetarian meal option.",canned black bean chili,Amy's,"['Organic', 'Vegetarian', 'Gluten-Free']",savory and slightly spicy,Medium-Cost,"['ready-to-eat', 'shelf-stable', 'multi-pack']","Health Foods, Canned and Packaged Foods, Vegetables and Beans, Health-Conscious Options, Prepared and Ready-Made Meals"
700,"Burton's Digestive Biscuits, 14 Ounce Roll","A 14-ounce roll of crumbly, sweet biscuits commonly enjoyed as a snack or paired with tea.",digestive biscuit,Burton's,['Contains Wheat'],sweet,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Snacks, Sweets and Desserts"
746,"Barilla Elbow Pasta, 16 Ounce Boxes (Pack of 16)","This product is a bulk pack of elbow-shaped pasta, ideal for a variety of dishes such as macaroni and cheese, salads, and casseroles.",elbow pasta,Barilla,['Non-GMO'],neutral,Medium-Cost,"['requires cooking', 'shelf-stable']",Grains and Pasta
749,"Dentyne Pure Gum, Mint with Herbal Accents, 9-Piece Packages (Pack of 10)",A pack of ten 9-piece packages of mint-flavored chewing gum enhanced with herbal accents for fresh breath.,chewing gum,Dentyne,['Sugar-Free'],minty,Medium-Cost,"['convenient packaging', 'shelf-stable']",Snacks
759,"Namaste Foods, Gluten Free Waffle &amp; Pancake Mix,  21-Ounce Bags (Pack of 6)","A gluten-free mix designed for making waffles and pancakes, conveniently packaged in six 21-ounce bags.",pancake and waffle mix,Namaste Foods,['Gluten-Free'],sweet,Medium-Cost,"['requires cooking', 'shelf-stable']","Cooking Ingredients, Breakfast Foods, Dietary Specific Items"
800,"Tamanishiki Super Premium Short Grain Rice, 15-Pound","This high-quality short grain rice is ideal for preparing sushi, rice bowls, and other dishes that require a sticky and tender texture.",premium short grain rice,Tamanishiki,"['Gluten-Free', 'Non-GMO']",mild and slightly sweet,High-Cost,"['requires cooking', 'ideal for sushi']","Cooking Ingredients, Grains and Pasta"
804,"Bubble Yum Gum, Cotton Candy, 5-Piece Packages (Pack of 36)","This product consists of 36 packs, each containing five pieces of cotton candy-flavored bubble gum, perfect for a sweet and nostalgic chewing experience.",bubble gum,Bubble Yum,['Contains artificial flavors'],sweet,Low-Cost,"['shelf-stable', 'single-serving']","Snacks, Sweets and Desserts"
833,White Mulberry Tea (Morus Alba) Dr. Oz - 30 tea bags,"A herbal tea made from the leaves of the white mulberry tree, known for its potential health benefits, including antioxidant properties and support for blood sugar regulation, packaged in convenient tea bags.",herbal tea,Dr. Oz,"['Caffeine-Free', 'Natural']",mild,Medium-Cost,"['tea bags', 'herbal', 'antioxidant-rich', 'blood sugar support']","Beverages, Health Foods, Coffee/Tea, Health-Conscious Options"
864,Nick's Sticks Grass-Fed Beef Snack Sticks (6 1.7oz packages of 2 sticks),"These are protein-packed, snack-sized beef sticks made from grass-fed beef, conveniently packaged in six 1.7-ounce sets of two for on-the-go enjoyment.",beef jerky,Nick's Sticks,"['Grass-Fed', 'High-Protein', 'Low-Carb']",savory,Medium-Cost,"['ready-to-eat', 'portable', 'single-serving']","Snacks, Health Foods"
946,"Amoretti Premium Syrup, Amaretto, 25.4 Ounce","This is a 25.4-ounce bottle of premium amaretto-flavored syrup, ideal for adding a sweet, nutty taste to beverages, desserts, and culinary creations.",flavored syrup,Amoretti,['none'],sweet,High-Cost,"['shelf-stable', 'ready-to-use']","Beverages, Sweets and Desserts, Condiments and Sauces"
967,"Flavorganics Organic Extract, Hazelnut, 2 Ounce Bottle","A 2-ounce bottle of natural hazelnut extract, ideal for enhancing the flavor of baked goods, desserts, and beverages.",hazelnut extract,Flavorganics,['Organic'],nutty,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Specialty Foods, Culinary Specialties"
979,"Nature's All Foods Freeze-Dried Blueberries, 1.2 Ounce","These are lightweight, freeze-dried blueberries that retain their nutrients and flavor, making them ideal for snacking or adding to recipes.",freeze-dried fruit,Nature's All Foods,"['Non-GMO', 'Gluten-Free']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-eat', 'lightweight']","Snacks, Fruits and Vegetables, Dried and Preserved Foods"
989,Snickers Dark Chocolate Candy (Pack of 24),"A pack of 24 chocolate bars featuring a rich dark chocolate coating filled with nougat, caramel, and peanuts.",chocolate candy bar,Snickers,['Contains Peanuts'],"sweet, nutty",Medium-Cost,"['ready-to-eat', 'shelf-stable', 'bulk packaging']","Snacks, Sweets and Desserts"
993,"Kitchens of India Paste for Butter Chicken Curry, 3.5-Ounce Boxes (Pack of 6)","A ready-to-use paste designed for making authentic butter chicken curry, conveniently packaged in six 3.5-ounce boxes.",curry paste,Kitchens of India,['none'],savory,Medium-Cost,"['ready-to-use', 'shelf-stable']","Cooking Ingredients, Ethnic and Specialty Foods"
999,"Joyva Marble Halvah, 16 oz","This product is a 16 oz package of marble halvah, a sweet, dense confection made from ground sesame seeds and sugar, often enjoyed as a snack or dessert.",halvah,Joyva,['Vegan'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
1000,"Roland Sushi Ginger, 16-Ounce (Pack of 6)","This product is a pack of six 16-ounce jars of pickled ginger, commonly used as a condiment for sushi and Asian dishes.",pickled ginger,Roland,"['Gluten-Free', 'Vegan']",tart,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Cooking Ingredients, Canned and Packaged Foods, Condiments and Sauces, Specialty Foods, Dried and Preserved Foods, Ethnic and Specialty Foods, Culinary Specialties"
1026,Tea Forte Loose Leaf Tea Canister - Coconut Chai Latte,"A canister of loose leaf tea featuring a blend of coconut and chai spices, designed for brewing a rich and flavorful chai latte.",flavored loose leaf tea,Tea Forte,"['Non-GMO', 'Gluten-Free']",sweet and spicy,High-Cost,"['requires brewing', 'shelf-stable']","Beverages, Coffee/Tea"
1038,"McCormick Italian Seasoning, 6.25-Ounce","A blend of herbs and spices specifically crafted to enhance the flavor of Italian dishes such as pasta, pizza, and marinades.",herb blend,McCormick,"['Gluten-Free', 'Non-GMO']",savory,Medium-Cost,"['shelf-stable', 'ready-to-use']",Cooking Ingredients
1058,"Special K Chocolate Delight Protein Snack Bar, 5.5 oz. Pkgs. 6 Bars per Pack, Pack of 6","A pack of six protein snack bars featuring a chocolate flavor, designed for a quick and convenient breakfast or on-the-go nutrition.",protein bar,Special K,"['High Protein', 'Low Sugar']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Breakfast Foods, Health Foods, Dietary Specific Items, Health-Conscious Options"
1075,"Twinings Irish Breakfast Tea K-Cups, 24 Count",A pack of 24 single-serve K-Cups containing robust Irish breakfast tea for a quick and convenient brewing experience.,Irish breakfast tea,Twinings,['Caffeinated'],robust,Medium-Cost,"['single-serving', 'quick brewing']","Beverages, Coffee/Tea"
1077,EZ-Sweetz (2 Pack 1.05oz - Liquid Sweetener 400 Servings/Bottle),"This product is a liquid sweetener made from stevia, offering a low-calorie alternative to sugar with approximately 400 servings per bottle.",liquid sweetener,EZ-Sweetz,"['Low-Calorie', 'Non-GMO']",sweet,Medium-Cost,"['shelf-stable', 'ready-to-use']","Health Foods, Sweeteners, Health-Conscious Options"
1088,Jane Parker Dark Fruit Cake (16oz),"This rich, moist fruitcake is made with a blend of dark fruits and nuts, perfect for festive occasions or as a flavorful dessert.",fruitcake,Jane Parker,[],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']",Sweets and Desserts
1127,"Nabisco Original Premium Saltine Crackers Topped with Sea Salt, 3 Pound","These classic saltine crackers are lightly sprinkled with sea salt, offering a crisp and versatile snack option ideal for pairing with soups, spreads, or enjoying on their own.",saltine crackers,Nabisco,['Low-Calorie'],savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']",Snacks
1150,"Nestle Chunky King Size, 2.5-Ounce Candy Bars (Pack of 24)","A pack of 24 large chocolate bars featuring a chunky texture, filled with peanuts and rich milk chocolate, perfect for satisfying cravings or sharing.",chocolate candy bar,Nestle,['Contains Peanuts'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Sweets and Desserts"
1152,Dry Lovage Leaves ( Leustean Frunze ) - 15 g,"Dried lovage leaves are aromatic herbs commonly used in cooking for their celery-like flavor, enhancing soups, stews, and sauces.",dried herb,none,"['Non-GMO', 'Gluten-Free']",savory,Medium-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Dried and Preserved Foods"
1178,Bakers &amp; Chefs Light Brown Sugar - 7 lb. bag,This 7-pound bag of light brown sugar is a versatile sweetener commonly used in baking and cooking to add moisture and a subtle caramel flavor to recipes.,light brown sugar,Bakers & Chefs,['Natural'],sweet,Low-Cost,"['shelf-stable', 'ready-to-use']","Cooking Ingredients, Sweeteners"
1195,"Gerber 3rd Foods Chicken Noodle, 6-Ounce (Pack of 12)","A convenient pack of ready-to-eat chicken noodle puree designed for infants and toddlers, promoting easy feeding and nourishment.",chicken noodle puree,Gerber,"['Non-GMO', 'Gluten-Free']",savory,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Canned and Packaged Foods, Baby Food"
1201,Byler's Relish House Homemade Amish Country Pickled Garlic 16 oz.,"This product is a jar of pickled garlic cloves, prepared in the traditional Amish style, offering a tangy and flavorful addition to various dishes or as a snack.",pickled garlic,Byler's Relish House,"['Gluten-Free', 'Vegan']",tart,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Canned and Packaged Foods, Condiments and Sauces, Dried and Preserved Foods"
1240,"Barbara's Bakery Snackimals Animal Cookies, Oatmeal, 2.125-Ounce Bags (Pack of 18)","These are bite-sized animal-shaped cookies made with oatmeal, packaged in 2.125-ounce bags, perfect for snacking or sharing.",animal-shaped cookies,Barbara's Bakery,"['Non-GMO', 'Low-Sodium']",sweet,Medium-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Snacks, Health Foods"
1247,"Explore Asia Organic Black Bean Spaghetti, 7.05 Ounce","This is a gluten-free pasta alternative made from organic black beans, ideal for those seeking a nutritious and protein-rich option in their meals.",black bean spaghetti,Explore Asia,"['Organic', 'Gluten-Free', 'High Protein']",earthy,Medium-Cost,"['requires cooking', 'single-ingredient']","Health Foods, Grains and Pasta, Dietary Specific Items, Health-Conscious Options"
1254,"Lindt Excellence Dark Chocolate 70% Cocoa, 3.5-Ounce Packages (Pack of 12)","This product is a pack of twelve 3.5-ounce bars of premium dark chocolate made with 70% cocoa, offering a rich and intense flavor.",dark chocolate,Lindt,['Vegetarian'],bitter,High-Cost,"['shelf-stable', 'ready-to-eat']",Sweets and Desserts
1270,Schar Naturally Gluten-Free Wheat-Free Ladyfingers -- 5.3 oz,"These are gluten-free, wheat-free cookies designed for snacking or as a dessert component, often used in layered desserts like tiramisu.",ladyfingers,Schar,"['Gluten-Free', 'Wheat-Free']",sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Sweets and Desserts, Dietary Specific Items"
1286,"Snyders of Hanover Variety Pack Pretzel Snack Value Box, 36-Count","This value pack contains 36 assorted pretzel snacks from Snyders of Hanover, offering a variety of flavors and shapes for convenient snacking.",assorted pretzel snacks,Snyders of Hanover,['Low-Fat'],savory,Low-Cost,"['ready-to-eat', 'shelf-stable', 'single-serving']",Snacks
1359,Frank Coopers Vintage Coarse Cut Oxford Marmalade 16 oz. 454g,"This product is a 16 oz. jar of coarse-cut Oxford marmalade, made with high-quality oranges for a rich and tangy spread perfect for breakfast or baking.",coarse-cut marmalade,Frank Cooper's,['None'],tart,High-Cost,"['ready-to-eat', 'shelf-stable']","Breakfast Foods, Condiments and Sauces"
1397,Smuckers Sampler Pack (Pack of 6) (Simply Fruit Variety Pack of 6 Flavors),"A variety pack containing six different flavors of fruit spreads made with simple ingredients, perfect for enhancing breakfast items or snacks.",fruit spread sampler,Smuckers,['Non-GMO'],sweet,Medium-Cost,"['ready-to-eat', 'shelf-stable']","Snacks, Breakfast Foods, Canned and Packaged Foods, Condiments and Sauces"
1399,"Del Monte Petite Diced Tomatoes, 14.5-Ounce (Pack of 12)","This product is a pack of twelve 14.5-ounce cans of petite diced tomatoes, ideal for use in soups, sauces, and various recipes.",petite diced tomatoes,Del Monte,"['Gluten-Free', 'Vegan']",savory,Medium-Cost,"['shelf-stable', 'ready-to-eat']","Cooking Ingredients, Canned and Packaged Foods"
1403,Serendipity 3 Frrrozen Hot Chocolate Mix 18oz Canister,"This product is a rich and indulgent hot chocolate mix designed to be served frozen, offering a unique twist on a classic beverage experience.",frozen beverage mix,Serendipity 3,['none'],sweet,Medium-Cost,"['ready-to-drink', 'shelf-stable', 'frozen preparation']",Beverages
1414,"Simply Organic Bay Leaf Certified Organic, 0.14-Ounce Container","A small container of certified organic bay leaves, commonly used in cooking to enhance flavor in soups, stews, and other dishes.",dried herb,Simply Organic,"['Organic', 'Gluten-Free', 'Vegan', 'Non-GMO']",savory,Medium-Cost,"['shelf-stable', 'requires cooking']",Cooking Ingredients
1446,"Medora Snacks Popcorners Popped Corn Chips, White Cheddar, 1.1-Ounce Packages (Pack of 40)",A pack of 40 individual 1.1-ounce bags of popped corn chips flavored with white cheddar cheese.,popped corn chips,Medora Snacks,['Gluten-Free'],savory,Medium-Cost,"['ready-to-eat', 'single-serving', 'shelf-stable']","Snacks, Canned and Packaged Foods"
