bundle ID,intent
357,Customer wants some jewellery and this combination works
358,Diverse Women's Hooded Vests
359,Women's Lemon Flat and Women's Owen Boot
360,Athletic Performance Toolkit
361,outerwear 
362,Casual Footwear Essentials
363,Complete Formal Outfit
364,Vintage Necklace Collection
365,Disney Summer Apparel Collection
366,Toddler Beach Essentials
367,Cuban Heel Men's Footwear
368,Diverse Handbag Options
369,maternity clothes
370,nursing bra
371,Stylish Dress Variety
372,skirt and pump
373,different style of bracelets
374,different style of watches
375,Men's wristwatch variety
376,different types of kids outfits
377,Complete evil witch costume
378,different style of watches
379,alternative products
380,Versatile Layered Outfit
381,Easily Interchangeable Replacement Military Watch Strap / Band - Fits All Watches
382,Formal Event Outfit Essentials
383,Women's Business Casual Clothes
384,Witch Costume Accessories
385,Complete Boys' Winter Outfit
386,Elegant Jewelry Set Expansion
387,diverse casual footwear options
388,Versatile Casual Footwear Collection
389,Women's dresses
390,Professional healthcare clothing set
391,Women's High-Intensity Activewear Tops
392,Women's sports bra
393,Versatile Plus-Size Casual Wear
394,Casual Dress Collection
395,Men's pants
396,Men's Casual Shirts Only
397,kid clothes
398,Diverse Dress Styles
399,kid clothes
400,pants
401,Men's Casual T-Shirt Collection
402,Casual Sporty Essentials Collection
403,Women's bra
404,baby headbands
405,Baby shower headband collection
406,different tops for men
407,Diverse Men's Pants Styles
408,Casual Layered Outfit
409,Womens accessories
410,Men's Casual T-Shirt Collection
411,Playful Casual Outfit
412,women swimsuit
413,Complete Dress Outfit
414,Modern Jewelry Collection
415,Humorous T-shirt Collection
416,travel
417,Complete Sofia Dress-Up Set
418,Casual Travel Wardrobe Essentials
419,Newborn Clothing Essentials
420,Footie Pajamas for Newborns
421,Family Casual Dress Collection
422,product bought to wear at home
423,casual outing dress
424,Casual Women's Fashion Jewelry
425,Diverse Women's T-Shirt Collection
426,long sleeve
427,Elegant Jewelry Set
428,man watch
429,Children's Heart Jewelry Set
430,Complete Casual Outfit
431,Essential Wallet Accessories
432,jewelry set
433,Essential Jewelry Starter Kit
434,Elegant Watch Collection
435,Shrek Character Cosplay Collection
436,T shirt for men
437,Running footwear and socks
438,men's jewelry
439,marc ecko cut& sew men
440,Baby wear . All items
441,Newborn Sleepwear Selection
442,kid clothes
443,Casual Sock Essentials
444,Alternative women boots
445,Different style boots
446,Diverse Earring Styles Collection
447,Stylish Watch Collection
448,Driving Eyewear Collection Expansion
449,Outdoor Fashion Essentials
450,different style of T-shirt
451,different style of T-shirt
452,Stylish Casual Jeans Collection
453,Jean
454,Boys' Pants Collection
455,different style of jewelry
456,womens panty with alternate product
457,Bra
458,womens dresses
459,Women's Dress Collection
460,Complete Casual Tunic Collection
461,Cohesive Spiritual Jewelry Set
462,Elegant Earring Collection
463,Complete Garnet Jewelry Set
464,Aquatic Charm Collection
465,1980s Casual Apparel Collection
466,Casual Disney Outfit Essentials
467,Ariel costume accessories
468,Basketball Footwear Essentials
469,Casual outfit essentials
470,dress and sandal
471,Diverse Floral Scarf Styles
472,Vintage Jewelry Collection Expansion
473,Women's V-neck t-shirts
474,Comfort Bra Collection Expansion
475,ladies deep v white
476,Comfort-Focused Bra Collection
477,Women's top
478,scarves
479,Youth Casual Wear Essentials
480,Humorous Youth T-Shirt Collection
481,scarves of different styles
482,Casual Outfit Essentials
483,Floral Women's Tunics Collection
484,baby clothing
485,ladies watches
486,Durable Everyday Clothing
487,different style of shoes
488,Versatile Women's Sandal Collection
489,hair band
490,Minnie Mouse Dress Collection
491,Comprehensive Baby Sun Protection
492,Diverse Engagement Ring Styles
493,Unique Engagement Ring Set
494,Coordinated Silver Jewelry Set
495,Formal Dress Variety
496,Stylish Spring Outfit Coordination
497,Boys' Casual T-shirt Variety
498,Men's casual t-shirt selection
499,Jack Sparrow costume essentials
500,Pirate Costume
501,top and pants
502,shirt and pants
503,Kids pjs
504,pajamas
505,Women's Casual Outfit Essentials
506,Women's Casual and Semi-Formal Wear
507,Different types of purse
508,Cohesive Luck Jewelry Collection
509,Collection of Decorative Brooches
510,different style of dress
511,Swimwear
512,Baby girl swimwear options
513,Age-Appropriate Casual Outfit
514,Women's Walking Shoe Collection
515,Romantic Jewelry Gift Set
516,Diverse Dress Sock Collection
517,Women's Sleepwear Variety Collection
518,men s boxer and Tshirt
519,Men’s Tops
520,Hairdressing Charm Collection
521,Cool Accessories for Girls
522,Lady's handbag
523,Casual Shorts Collection
524,different style of NeckTie
525,Comprehensive watch repair solution
526,European Charm Bracelet
527,Semi-Formal Belt Variety
528,Diverse Casual Sock Collection
529,men clothes
530,top platform high wedge
531,Skirts for Young Girls
532,Complete yoga outfit options
533,Complete Wedding Ring Set
534,Couples' Love T-Shirt Collection
535, Pajama Pant
536,Versatile Layering Essentials
537,Diverse Functional Women's Belts
538,Women's Casual Outfit Essentials
539,Diverse Casual Footwear Options
540,Women's Casual Sock Collection
541,go traveling
542,different but similar tops
543,Scarf
544,Fashionable Women's Boot Collection
545,Variety of Stud Earrings
546,different style of bags
547,Women's Cozy Slipper Collection
548,Comprehensive Beach Cover-Up Set
549, Item 1 and 2 are complementary products
550,women's panties
551,Belly Dance Performance Essentials
552,belt
553,Women's Formal Accessory Collection
554,Casual Women's Tops Collection
555,Versatile Casual Tops Collection
556,Neck Warmer
557,Seasonal Women's Footwear Collection
558,Prepare winter clothes for their kids
559,Aviation Heritage Cufflinks
560, Quality of lasting or remaining unchanged indefinitely
561,Elegant Evening Accessories
562,Libian dresses
563,Different styles of women's running shoes
564,Girl's Undergarments
565,different style of shorts
566,Steampunk Costume Starter Pack
567,Sanuk slip on shoes
568,Women’s jacket
569,car
570,Diverse Family Footwear Options
571,Versatile Footwear for All Occasions
572,Colorful Baby Hair Accessories
573,different style of sandal
574,different style of sandal
575,tops
576,Women's silicone band watches
577,Plus-Size Clothing Essentials
578,Professional Women's Scrubs Set
579,Humorous Women's T-Shirt Collection
580,"These are all male items, shoes and clothing "
581,Alternative shoes for men 
582,Women's Sandles
583,Men pant and brief
584,Themed Activewear Collection
585,Chain
586,Pendants and Necklaces
587,Complete Burlesque Outfit
588,Men's Running Essentials
589,Complete Running Kit
590,SANDALS
591,Comprehensive Volleyball Gear
592,essential uses
593,Casual Edgy Top Collection
594,Casual Women's Outfit Essentials
595,Boy's t-shirts
596,stretch jean
597,MENS T-SHIRT
598,Ladies' sandal selection
599,BOTTOMS
600,Summer Swimwear Variety
601,t-shirts
602,Toddler Clothing Essentials
603,Complete angel costume set
604,Skirt
605,Floral Holiday Jewelry Collection
606,Holiday Jewelry Collection
607,awareness of breast cancer
608,different style of bra
609,Variety of Medical Tops
610,Trendy Spring Tops Collection
611,Trendy Spring Outfit Collection
612,lightweight vacation outfit
613,Women's T-Shirt Collection
614,Fashionable Earring Collection
615,Bijoux
616,earrings diffrent style
617,different style of shoes
618,Cold Weather accessories
619,hats with different styles
620,Items to keep warm. 
621,Essential Summer Clothing
622,skirt and sandal
623,baby suits
624,Baby 3 pk body suit and pant
625,Comprehensive Infant Beach Set
626,Casual Summer Footwear Collection
627,women's Sandal
628,Long/Maxi dress
629,Versatile Summer Dresses
630,Summer Dress Collection
631,Women's Athletic Outfit Essentials
632,Blue jewelry 
633,Diverse Club Dress Collection
634,Spider-Man Cosplay Essentials
635,Casual Shirt Collection
636,Complete outfit for women
637,women's Mossy Oak lingerie
638,WOMENS BOOTOM
639,Women's Tight
640,different kinds of shoes
641,Bijoux
642,Bridesmaid Dress Ensemble
643,Men's Versatile Footwear Collection
644,Trunk-style underwear selection
645,Watches for Young Boys
646,Women's Pajama Variety Collection
647,Women's Loungewear Tank Tops
648,Women's Underwear Set
649,Casual Women's Watch Collection
650,Diverse Unisex Watch Collection
651,Sleeve 
652,Women's Shirt
653,Complete Casual Outfit Set
654,bracelet
655,Casual Fashion Jewelry Collection
656,Stylish Bootie Collection
657,womens dress iteam 
658,high quality
659,Complete Active Outdoor Set
660,Sport t-shirts family
661,different style of sandal
662,watches
663,Men's Stylish Watch Collection
664,Bold Statement Jewelry Collection
665,Naruto Cosplay Footwear Set
666,Naruto Cosplay Footwear Options
667,Ninja shoes
668,Pride Necklace Collection Expansion
669,Angel Jewelry Collection
670,Dresses
671,Coordinated Floral Outfit
672,Casual Summer Clothing Collection
673,different style of thong
674,Casual Family Dress Outfit
675,Diverse Summer Sandal Collection
676,t shirt
677,men's clothing
678,Tactical Outdoor Gear Essentials
679,Diverse High-Top Sneaker Styles
680,Shoes
681,women's sandals
682,Varied Casual Pants Collection
683,Versatile Anklet Collection
684,Plus-Size Versatile Lounging Essentials
685,WOMENS CLOTHING
686,Women's plus size lounger
687,Horror Character Accessories
688,Dress with different style
689,WOMENS DRESS
690,Women's Tops & Cardigans
691,bra
692,tank
693,Summer Clothing Essentials
694,different style of watches
695,Swarovski Nose Jewelry Collection
696,womens tops
697,Comprehensive Boot Care Solutions
698,Summer Outfit Essentials for Girls
699,girls underwear
700,girls clothing
701,watch
702,wallet
703,Punk Footwear Collection
704,Punk Fashion Footwear Essentials
705,Pendants
706,Diverse watch styles showcase
707,Nostalgic Pop Culture Collection
708,Casual Themed Clothing Collection
709,Women's Dress Essentials
710,Elegant Gold and White Gold Necklaces
711,Summer clothing
712,women t-shirts and tops
713,Men's Fashion Essentials
714,watch
715,Looking for premium brand accessories
716,Diverse Men's Boot Collection
717,Watches
718,Casual Watch Variety Expansion
719,women's heels
720,Versatile Plus-Size Pants Collection
721,Diverse Skirt Styles Collection
722,MENS HAT CAP
723,Elegant Red Jewelry Collection
724,jewelry set
725,men sneakers
726,men watches
727,leggings
728,sexual costume essentials
729,Men's Top
730,Casual Tees for Everyone
731,Harley-Davidson T-Shirt Collection
732,Casual Clothing for Girls
733,Stylish Formal Outfit Essentials
734,Watches
735,Everyday Handbag Essentials
736,Diverse Turquoise Ring Styles
737,Formal Footwear Variety
738,good quality
739,Family Superhero Apparel
740,Diverse women's ring collection
741,Pendants
742,Women's earrings in different styles
743,Colorful Women's Jewelry Set
744,Wristwatch Protection Essentials
745,Travel baggage and securities
746,Women bikinis
747,Women's Casual Outfit Set
748,Complete Winter Boot Set
749,different kinds of panty
750,Graphic Pop Culture Tees
751,Stylish Men's Accessories Collection
752,Stylish Men's Watch Collection
753,Tote with different style
754,workwear scrubs and work clogs
755,Men's Athletic Footwear Selection
756,Men's Running Shoe Collection
757,Athletic T-shirt Collection
758,Sporty Polo Outfit Collection
759,MENS TOP AND BOTTOM
760,good quality
761,women's swim suit and invisible bra
762,different style of sandal
763,Casual and Semi-Formal Wear
764,Versatile Plus-Size Outfit
765,nice produced 
766,T shirts
767,Nature-themed adult t-shirts
768,Bold Tongue Ring Collection
769,earrings
770,Diverse Functional Tongue Rings
771,Woman's Gown 
772,Frock
773,Basketball Jewelry
774,Baby Cotton Bodysuit
775,different types of tank tops
776,Activewear and Yoga Essentials
777,different types of hot pants
778,women's sandals
779,Everyday Comfort Lingerie Set
780,Casual Summer Outfit Essentials
781,Traditional Work Boot Selection
782,Diverse Waist Chain Styles
783,lingerie
784,womens corset
785,Dance Shoe Collection
786,Stylish Corset Collection
787,different style of Sunglasses
788,Boys' Stylish Hoodie Set
789,Boys' Clothing Essentials
790,Diverse Children's Footwear Collection
791,kids shoes
792,"pants, belt and boot"
793,Cohesive Chronograph Collection
794,different style of socks
795,different style of necklace
796,Kids Clothes and Shoes
797,Casual Women's Clothing Collection
798,Juniors
799,Women's Flip Flop Collection
800,women's boot
801,Themed Rain Gear for Kids
802,Chic Sunglasses 
803,Hand gloves of different style
804,womens knit winter accessories
805,Casual Wardrobe Essentials
806,Men's Underwear Variety
807,Men's Three-Pack Boxer Brief
808,regular based products
809,women shoes
810,versatile women's clothing
811,Diverse High Heel Selection
812,Versatile Dress Collection
813,Engagement and Promise Rings
814,wedding rings
815,women's pants
816,yoga
817,Youth Jackets Collection
818,travel bottle
819,Men's Bracelet Variety
820,Casual Footwear Essentials
821,woman flip flop
822,Women's Stylish Summer Sandals
823,women's shorts
824,Diverse Sandal Styles Selection
825,Diverse Summer Footwear Options
826,Diverse Bow Tie Collection
827,suit and tie
828,formal attire for boys
829,men T-shirt
830,Men's Bigfoot T-shirt Collection
831,Casual Layered Outfit Essentials
832,Formal Dress Ensemble for Girls
833,Girl's clothing
834,All necklaces 
835,different style of watches
836,Versatile Wallet Collection
837,baby infant alternatives products
838,necklace
839,Elegant Ring Collection Expansion
840,Elegant Jewelry Essentials
841,High heel fancy shoes.
842,Couples Formal Footwear Collection
843,Platform Pump
844,Coordinated Casual Silver Jewelry Set
845,shoulder and head wrap
846,Complete Boys Casual Outfit
847,Playful Animal Jewelry Collection
848,Comfortable Casual Sandal Collection
849,Cozy Sleepwear Collection
850,Kids clothing 
851,Ladies blouse/shirt
852,Frocks
853,Casual and Semi-Formal Dress Options
854,Festive Jewelry Collection
855,cold weather footwear essentials
856,MENS WATCH
857,calvin klein mans inner
858,Elegant Jewelry Collection
859,Elegant Classic Ring Collection
860,Complete Toddler Outfit Set
861,Complete Infant Outfit
862,men's shirts.
863,Guitar-Themed Apparel Collection
864,Biker Jewelry Collection Expansion
865,Variety of Sleepwear
866,Diverse Pendant Collection
867,Adult Fashion Watch Selection
868,everyday infant clothing variety
869,Classic Men's Wallet Set
870,Unisex Casual Outfit Essentials
871,Women's watch
872,Men's Casual Outfit
873,the items are alternative products: men's pant
874,Pants
875,Women's shoes
876,Versatile Party Skirts Collection
877,crazy party outfit
878,skirts
879,pump & boot
880,Stylish Women's Footwear
881,HelloKitty wallet
882,Casual Women's Wear Essentials
883,WOMENS T-SHIRT
884,Girls's  pajama
885,Different types of tops
886,Children's Sleepwear Collection
887,Unisex Running Performance Gear
888,Motorsport Footwear Essentials
889,Versatile Party Outfit Enhancements
890,Casual Footwear Variety for Kids
891,Different types of sandals
892,Diverse High Heel Selection
893,Elegant Footwear and Dresses
894,Casual Fall Outfit Essentials
895,Diverse Legging Styles
896,Women's Cardigan Collection
897,Stylish Casual Outfit
898,Womens shirts and sweaters
899,Variety of Short Sleeve Tops
900,to buy spirng/summer clothes
901,Swimsuits and bikinis
902,Stylish Knee-High Outfit Set
903,Comprehensive Seasonal Footwear
904,earrings with different style
905,Jewelry earings 
906,Stylish Women's and Men's Watches
907,Women's Watch Collection
908,Stylish Party Wear Collection
909,Stylish Women's Party Tops
910,different style of socks
911,womens elbow gloves 
912, match in the clothing and the good quality on the branded
913,Gold Earrings and Chains 
914,Women's maxi skirts
915,different womens top
916,tshirt
917,Body Jewelry for Ear Stretching
918,Ring and gift pouch
919,Different jeans
920,different style of pendant
921,Complete Western Outfit Essentials
922,Western Boot Accessories
923,women inners
924,Versatile Men's T-Shirt Collection
925,Themed Pajamas for Kids
926,"all kid related products, piyamas and costumes"
927,Complete Cowboy Dress-Up Set
928,Long sleeve blouse tops
929,Bikini (different styles)
930,Women's Swimwear Collection
931,hoop earrngs woth different style
932,Variety of Earrings
933,sling cross body purse
934,belts and belt accessories
935,Children's Footwear and Socks
936,Diverse Children's Footwear Collection
937,Diverse Floral Sock Collection
938,women's footwear collection
939,Active Women's Footwear Collection
940,Essential Active Wear Outfit
941,Casual and Active Wear
942,Casual Versatile Outfit Essentials
943,Plus Size Lingerie Collection
944,Playful Summer Wardrobe
945,Diverse summer sandal styles
946,Versatile Activewear Collection
947,Versatile Land Leggings Collection
948,Stylish Patterned Dress Socks
949,Platform Pump and Handbag 
950,Themed insect body jewelry
951,Complimentary 
952,Stylish Shirt Collection
953,Casual Sport Watch Set
954,women handbag
955,women accesories 
956,Summer Dress Outfit Collection
957,earrings
958,Travel Essentials Bundle
959,Comprehensive Travel Solution
960,Gothic Victorian Disguise Collection
961,Clothing for cold
962,Complete Victorian Gothic Outfit
963,Traditional Elegant Wedding Jewelry
964,Complete Casual Outfit Upgrade
965,women's capri legging
966,different style of jacket
967,Sun glasses
968,Lenses
969,diverse sunglasses selection
970,harring with different style 
971,Charming Charm Bracelet Collection
972,Women's Casual Formal Wear
973,Casual Tops and Slippers
974,Versatile Women's Clothing Options
975,Women's Leggings
976,earrings
977,Edgy Bridal Footwear Options
978,Wedding 
979,different style of necklace
980,Traditional Gothic Choker Styles
981,Complete Winter Outfit
982,Columbia girls hats
983,Elegant Formal Footwear
984,Formal
985,Shoe Care Brushes Only
986,Skate and Athletic Footwear
987,Essential Travel Accessories
988,Versatile Spring Blouse Collection
989,Complete Cocktail Outfit Collection
990,women heels
991,women bikini panties with different styles
992,Diverse Dress Styles Collection
993,Casual Summer Outfit Collection
994,long sleeve
995,short
996,womens dress
997,women's sexy outfit (dress and shoes)
998,Diverse Bra Styles
999,different style of Top
1000,Woman’s casual fashion 
1001,Umbrella
1002,leather best
1003,Men's inner wear
1004,Men's jeans
1005,Bold Hosiery Variety Collection
1006,Complete casual work outfit
1007,Alternative Kids shoes
1008,Type of Glasses
1009,Curated Vintage Bracelet Collection
1010,Fashion Eyewear Collection
1011,Vibrant Bracelet Collection
1012,Vibrant Festival Accessories
1013,Women's Tops Variety
1014,Versatile Casual Tops Collection
1015,Military T-Shirt Collection
1016,Military Casual Wear Collection
1017,different style of sandal
1018,Variety of Earring Styles
1019,different style of top
1020,women clothes
1021,Diverse Wedding Ring Collection
1022,Themed Fashion Sock Collection
1023,Men's shoe
1024,Casual Sneaker Variety Collection
1025,Women's leggings
1026,Women's Casual wear
1027,GIRLS T-SHIRT
1028,Casual Outfit Essentials
1029,Womens dresses
1030,Versatile Fashionable Dresses
1031,Boy Clothing 2-7
1032,Casual Outfit Set Expansion
1033,Military Role-Play Essentials
1034,Women's Lingerie Collection
1035,Vintage Bracelet Collection
1036,different style of necklace
1037,Diverse Dress Collection
1038,Seasonal Outfit Essentials
1039,Complete Outdoor Clothing Set
1040,Complete Hiking Footwear Set
1041,Women and baby shoes
1042,Coordinated Infant Dress Set
1043,Womens sports bras
1044,Disney-themed casual outfit for kids
1045,different style of socks
1046,bra
1047,Complete Women's Running Apparel
1048,Women's Running Essentials
1049,Versatile Toddler Sandal Collection
1050,Diverse Casual Tops Collection
1051,Casual Streetwear Essentials
